"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","WAB_20min_10mon","WAB_30min_10mon","carotenoidtotal","betacarotenoid_nirs","branch_number","CBB_3mon","DM_gravity","DM_nirs","height_1st_branch","yield_ha","root_weight_plot","frogskin1_5","HCN_linamarase_10mon","vigor1_5","lodging1_3","lodging1_3_6mon","root_number_commercial","root_weight_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8","lodging1_3_4mon","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha"
2023,"202328BCPRC_repe","202328BCPRC_repe",4,4,"2023-June-02","2024-February-20","Repelon. Atlantico, Colombia",NA,"202328BCPRC_repe_rep2_GM3426-5_36",2,36,12,1,"check"," (Operator: lizbethpino, Time: )","GM3426-5","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",4.1,11.8,9.1,3.9,2,1,31.1365779927448,31.6,185,32.7083333333333,15.7,NA,NA,5,1,NA,20,10.8,10,20,3,340,70,4,3,1,2,3,45,1810,156,5,6,1,3,1,6,NA,6,30,32.7083333333333,10.1842557184603
2023,"202328BCPRC_repe","202328BCPRC_repe",4,4,"2023-June-02","2024-February-20","Repelon. Atlantico, Colombia",NA,"202328BCPRC_repe_rep2_GM4486-11_24",2,24,8,1,"test"," (Operator: lizbethpino, Time: )","GM4486-11","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",1.7,5.7,12.4,8.4,2,1,26.6951345755693,26.3,140,27.9166666666667,13.4,NA,NA,4,2,NA,21,10.9,10,20,4,270,30,4,3,2,2,3,40,3090,192,1,4,1,3,1,8,NA,6,20,27.9166666666667,7.45239173567977
2023,"202328BCPRC_repe","202328BCPRC_repe",4,4,"2023-June-02","2024-February-20","Repelon. Atlantico, Colombia",NA,"202328BCPRC_repe_rep2_SM3536-44_30",2,30,10,1,"check"," (Operator: lizbethpino, Time: )","SM3536-44","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",-0.4,-0.1,7.1,4.1,3,1,19.8661716171617,22.3,110,19.5833333333333,9.4,NA,NA,5,2,NA,17,8.5,10,20,3,270,40,2,2,1,1,3,20,3720,84,0,3,1,3,1,5,NA,6,15,19.5833333333333,3.89045860836083
2023,"202328BCPRC_repe","202328BCPRC_repe",4,4,"2023-June-02","2024-February-20","Repelon. Atlantico, Colombia",NA,"202328BCPRC_repe_rep2_SM4569-17_20",2,20,7,2,"test"," (Operator: lizbethpino, Time: )","SM4569-17","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,14.2,9.4,4,1,20.3712044105174,20.4,120,8.75,4.2,NA,NA,4,2,NA,7,2.2,12,20,3,320,40,2,3,2,3,3,20,1210,31,2,3,1,3,1,7,NA,6,15,8.75,1.78248038592027
2023,"202328BCPRC_repe","202328BCPRC_repe",4,4,"2023-June-02","2024-February-20","Repelon. Atlantico, Colombia",NA,"202328BCPRC_repe_rep2_SM4850-8_23",2,23,8,2,"test","Alta pudricion (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","SM4850-8","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,14,10.2,3,1,20.4912196240257,20.7,170,18.3333333333333,8.8,NA,NA,5,2,NA,12,6.6,12,20,3,320,50,6,3,2,3,3,27,2240,59,4,4,2,3,1,8,NA,6,20,18.3333333333333,3.75672359773804
2023,"202328BCPRC_repe","202328BCPRC_repe",4,4,"2023-June-02","2024-February-20","Repelon. Atlantico, Colombia",NA,"202328BCPRC_repe_rep2_SM4891-13_22",2,22,8,3,"test"," (Operator: lizbethpino, Time: )","SM4891-13","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,6,0,NA,NA
2023,"202328BCPRC_repe","202328BCPRC_repe",4,4,"2023-June-02","2024-February-20","Repelon. Atlantico, Colombia",NA,"202328BCPRC_repe_rep2_SM4952-5_32",2,32,11,2,"test"," (Operator: lizbethpino, Time: ), Pudricion - flecos (Operator: lizbethpino, Time: )","SM4952-5","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",-0.7,-0.2,12.7,10.1,3,1,22.5551133062173,19,125,12.9166666666667,6.2,NA,NA,5,3,NA,7,3.9,10,20,4,300,20,6,3,1,4,2,23,1790,69,12,11,3,2,1,6,NA,6,55,12.9166666666667,2.91336880205308
2023,"202328BCPRC_repe","202328BCPRC_repe",4,4,"2023-June-02","2024-February-20","Repelon. Atlantico, Colombia",NA,"202328BCPRC_repe_rep2_SM4963-25_26",2,26,9,2,"test","Alta pudricion (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","SM4963-25","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,15.4,10.4,3,1,30.8390756302521,32,60,6.04166666666667,2.9,NA,NA,4,2,NA,6,1.9,10,20,4,260,30,4,3,1,4,2,22,390,33,8,4,1,2,1,6,NA,6,20,6.04166666666667,1.86319415266107
2023,"202328BCPRC_repe","202328BCPRC_repe",4,4,"2023-June-02","2024-February-20","Repelon. Atlantico, Colombia",NA,"202328BCPRC_repe_rep2_SM5008-33_19",2,19,7,1,"test"," (Operator: lizbethpino, Time: )","SM5008-33","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",2,6,9.5,4.1,2,1,27.9653468385512,28.6,250,29.5833333333333,14.2,NA,NA,5,2,NA,16,8.7,12,20,3,310,50,6,3,1,3,3,52,3500,242,1,10,2,2,1,5,NA,6,50,29.5833333333333,8.27308177307139
2023,"202328BCPRC_repe","202328BCPRC_repe",4,4,"2023-June-02","2024-February-20","Repelon. Atlantico, Colombia",NA,"202328BCPRC_repe_rep2_SM5564-6_34",2,34,12,3,"test"," (Operator: lizbethpino, Time: ), Pudricion (Operator: lizbethpino, Time: )","SM5564-6","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,11.5,8.4,0,1,24.693438077634,21.1,260,4.58333333333333,2.2,NA,NA,3,1,NA,4,1.5,8,20,3,260,60,2,3,1,4,2,8,570,29,10,3,2,2,1,8,NA,6,15,4.58333333333333,1.13178257855822
